t,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,thetaDOT_1,thetaDOT_2,thetaDOT_3,thetaDOT_4,thetaDOT_5,thetaDOT_6
0.64,-0.26366,-1.4315,0.84232,-0.5672,-1.5939,1.3291,1.1231339,0.26217143,-0.29789231,-0.03519878,-2.03588734,1.08216525
0.648,-0.25543,-1.4303,0.84116,-0.5685,-1.6088,1.3368,1.08211409,0.18324235,-0.18828624,-0.13465522,-1.9665064,1.02093925
0.656,-0.24851,-1.4296,0.84057,-0.56995,-1.6214,1.3432,0.95971905,0.11933024,-0.1046037,-0.18061885,-1.74767825,0.89225599
0.664,-0.24294,-1.4292,0.84041,-0.57138,-1.6316,1.3483,0.76662689,0.07015266,-0.04571755,-0.1775858,-1.39892335,0.70554874
0.672,-0.23788,-1.429,0.84061,-0.57299,-1.6409,1.3528,0.64499451,0.03194947,0.0033776,-0.18541256,-1.18011635,0.58640199
0.68,-0.23241,-1.4291,0.84116,-0.57503,-1.6509,1.3577,0.63921319,0.00354649,0.04736748,-0.22279052,-1.1724082,0.57403195
0.688,-0.22601,-1.4294,0.84218,-0.57781,-1.6627,1.3634,0.74062136,-0.01845885,0.09031484,-0.29175445,-1.36022533,0.66009435
0.696,-0.21868,-1.4303,0.84408,-0.5818,-1.6762,1.3698,0.85944102,-0.06933455,0.17433046,-0.413395,-1.5821462,0.7581001
0.704,-0.21048,-1.432,0.84727,-0.58744,-1.6914,1.3769,0.97192411,-0.15840969,0.31055348,-0.59329105,-1.79547161,0.84517108
0.712,-0.20184,-1.4346,0.85166,-0.59454,-1.7074,1.3842,1.06872519,-0.27715834,0.48624311,-0.81470432,-1.98241546,0.9142744
0.72,-0.19362,-1.4376,0.85657,-0.60212,-1.7228,1.3912,1.07246804,-0.35498927,0.59591087,-0.93904863,-1.99571635,0.90718063
0.728,-0.18666,-1.4405,0.8613,-0.60919,-1.7358,1.397,0.96590522,-0.37616746,0.61604303,-0.93543263,-1.80254922,0.81091022
